GDX_Close,GDX_High,SF_Low,SF_Price,EG_low,EG_open,PLT_Price,PLT_High,Adj Close
47.549999,48.279999,60968,61185,71.25,72.300003,1603.8,1621.6,166.050003
46.48,47.66,61505,61814,70.25,72.25,1608.1,1615.1,166.130005
46.650002,46.98,60433,60671,69.0,69.5,1583.5,1608.05,164.419998
45.349998,46.700001,60033,60452,66.599998,69.949997,1581.85,1596.95,164.119995
45.549999,46.139999,61601,62440,66.650002,66.900002,1596.7,1601.65,164.5
45.93,46.200001,61908,62492,67.0,68.349998,1607.85,1610.65,165.160004
46.52,46.669998,62658,62948,67.150002,68.599998,1622.85,1629.0,165.800003
46.279999,46.720001,62102,62324,66.75,67.300003,1632.9,1642.1,165.649994
47.630001,47.959999,62260,63224,66.650002,67.75,1628.3,1647.25,165.770004
46.34,46.889999,61415,61508,66.150002,67.150002,1614.35,1630.4,164.369995
46.48,46.75,61223,61294,66.300003,66.5,1618.2,1621.25,164.130005
46.509998,46.700001,61230,61484,66.449997,67.550003,1608.25,1616.9,164.440002
45.75,46.610001,60566,60687,64.400002,68.050003,1598.4,1617.25,162.080002
45.360001,45.799999,59525,59607,63.349998,64.949997,1588.45,1602.8,161.690002
45.07,45.200001,57223,57351,61.900002,62.5,1555.5,1595.55,159.729996
45.18,45.549999,57288,58286,62.849998,63.200001,1539.3,1558.45,160.330002
44.849998,44.900002,57665,57729,62.950001,63.599998,1538.75,1553.5,160.619995
45.150002,45.240002,57270,57472,62.950001,64.449997,1544.15,1551.55,160.779999
45.439999,45.900002,57227,58175,62.650002,62.950001,1537.6,1551.75,161.160004
44.93,45.689999,57440,57516,62.650002,63.450001,1524.7,1542.95,160.53999299999995
46.389999,46.59,57523,57864,62.75,62.849998,1543.0,1544.15,162.020004
47.099998,47.529999,57896,58938,65.599998,65.800003,1571.5,1580.95,163.169998
45.139999,47.060001,58550,58651,63.049999,66.25,1555.15,1580.75,161.199997
45.330002,45.330002,56805,57537,61.75,62.75,1560.8,1565.4,160.440002
44.48,45.049999,57768,57983,61.799999,62.650002,1561.1,1571.15,159.429993
44.650002,44.700001,58050,58470,61.150002,61.849998,1582.35,1587.35,160.559998
44.360001,44.720001,57705,57970,60.599998,62.049999,1594.95,1603.6,160.490005
45.41,45.59,57881,58680,62.5,62.5,1634.95,1637.55,161.979996
45.400002,45.490002,57810,58105,63.900002,64.300003,1632.4,1641.35,161.059998
45.23,45.759998,58300,58743,65.099998,65.849998,1656.75,1664.75,161.53999299999995
45.59,45.959999,58765,59459,64.75,65.449997,1685.5,1706.45,162.559998
45.209999,45.419998,59174,59718,64.449997,65.0,1690.65,1699.95,162.649994
45.0,45.450001,58528,59614,63.400002,64.150002,1687.6,1706.05,163.350006
45.110001,45.25,59155,59436,63.400002,64.099998,1670.45,1701.45,163.089996
45.82,45.919998,59217,59617,63.5,64.0,1700.55,1701.9,163.669998
44.560001,45.720001,59525,59865,64.150002,65.150002,1688.4,1704.45,163.21000700000005
